seed,family,channel,fraction,support,reps,qcap,p_uniform,p_process,passes_FDR
11,binomial,Ala_wobble_GC,5/8,7,10,8,0.0,1.0,False
42,binomial,Ala_wobble_GC,5/8,6,10,8,0.0,1.0,False
99,binomial,Ala_wobble_GC,5/8,9,10,8,0.0,0.9904,False
11,binomial,CpG,3/38,4,10,38,0.0,0.8374,False
42,binomial,CpG,1/13,3,10,13,5e-05,1.0,False
99,binomial,CpG,3/38,5,10,38,0.0,0.7704,False
11,binomial,GC1,13/22,3,10,22,0.0,1.0,False
42,binomial,GC1,13/22,5,10,22,0.0,0.973,False
99,binomial,GC1,13/22,4,10,22,0.0,0.9996,False
11,binomial,GC2,11/27,5,10,27,0.0,0.946,False
42,binomial,GC2,9/22,4,10,22,0.0,0.955,False
99,binomial,GC2,11/27,3,10,27,0.0,0.9776,False
11,binomial,GC3,13/23,3,10,23,0.0,0.6276,False
42,binomial,GC3,9/16,4,10,16,0.0,0.9836,False
99,binomial,GC3,9/16,6,10,16,0.0,0.9936,False
11,binomial,Gly_wobble_GC,5/9,6,10,9,0.0,0.9576,False
42,binomial,Gly_wobble_GC,5/9,6,10,9,0.0,0.9586,False
99,binomial,Gly_wobble_GC,5/9,6,10,9,0.0,0.9344,False
11,binomial,Pro_wobble_GC,7/11,4,10,11,0.0,0.707,False
42,binomial,Pro_wobble_GC,2/3,5,10,3,0.00105,1.0,False
99,binomial,Pro_wobble_GC,2/3,5,10,3,0.00075,1.0,False
11,binomial,Thr_wobble_GC,5/7,8,10,7,0.0,1.0,False
42,binomial,Thr_wobble_GC,5/7,7,10,7,0.0,1.0,False
99,binomial,Thr_wobble_GC,5/7,6,10,7,0.0,1.0,False
11,binomial,Val_wobble_GC,3/5,5,10,5,0.0,1.0,False
42,binomial,Val_wobble_GC,3/5,5,10,5,5e-05,1.0,False
99,binomial,Val_wobble_GC,7/12,5,10,12,0.0,0.4728,False
