channel,seed,ci_kind,cap,agree_rate
Ala_wobble_GC,11,jeffreys,3072,1.0
Ala_wobble_GC,11,jeffreys,6144,1.0
Ala_wobble_GC,11,wilson,3072,1.0
Ala_wobble_GC,11,wilson,6144,1.0
Ala_wobble_GC,42,jeffreys,3072,1.0
Ala_wobble_GC,42,jeffreys,6144,1.0
Ala_wobble_GC,42,wilson,3072,1.0
Ala_wobble_GC,42,wilson,6144,1.0
Ala_wobble_GC,99,jeffreys,3072,1.0
Ala_wobble_GC,99,jeffreys,6144,1.0
Ala_wobble_GC,99,wilson,3072,1.0
Ala_wobble_GC,99,wilson,6144,1.0
CpG,11,jeffreys,3072,1.0
CpG,11,jeffreys,6144,1.0
CpG,11,wilson,3072,1.0
CpG,11,wilson,6144,1.0
CpG,42,jeffreys,3072,1.0
CpG,42,jeffreys,6144,1.0
CpG,42,wilson,3072,1.0
CpG,42,wilson,6144,1.0
CpG,99,jeffreys,3072,1.0
CpG,99,jeffreys,6144,1.0
CpG,99,wilson,3072,1.0
CpG,99,wilson,6144,1.0
GC1,11,jeffreys,3072,1.0
GC1,11,jeffreys,6144,1.0
GC1,11,wilson,3072,1.0
GC1,11,wilson,6144,1.0
GC1,42,jeffreys,3072,1.0
GC1,42,jeffreys,6144,1.0
GC1,42,wilson,3072,1.0
GC1,42,wilson,6144,1.0
GC1,99,jeffreys,3072,1.0
GC1,99,jeffreys,6144,1.0
GC1,99,wilson,3072,1.0
GC1,99,wilson,6144,1.0
GC2,11,jeffreys,3072,1.0
GC2,11,jeffreys,6144,1.0
GC2,11,wilson,3072,1.0
GC2,11,wilson,6144,1.0
GC2,42,jeffreys,3072,1.0
GC2,42,jeffreys,6144,1.0
GC2,42,wilson,3072,1.0
GC2,42,wilson,6144,1.0
GC2,99,jeffreys,3072,1.0
GC2,99,jeffreys,6144,1.0
GC2,99,wilson,3072,1.0
GC2,99,wilson,6144,1.0
GC3,11,jeffreys,3072,1.0
GC3,11,jeffreys,6144,1.0
GC3,11,wilson,3072,1.0
GC3,11,wilson,6144,1.0
GC3,42,jeffreys,3072,1.0
GC3,42,jeffreys,6144,1.0
GC3,42,wilson,3072,1.0
GC3,42,wilson,6144,1.0
GC3,99,jeffreys,3072,1.0
GC3,99,jeffreys,6144,1.0
GC3,99,wilson,3072,1.0
GC3,99,wilson,6144,1.0
Gly_wobble_GC,11,jeffreys,3072,1.0
Gly_wobble_GC,11,jeffreys,6144,1.0
Gly_wobble_GC,11,wilson,3072,1.0
Gly_wobble_GC,11,wilson,6144,1.0
Gly_wobble_GC,42,jeffreys,3072,1.0
Gly_wobble_GC,42,jeffreys,6144,1.0
Gly_wobble_GC,42,wilson,3072,1.0
Gly_wobble_GC,42,wilson,6144,1.0
Gly_wobble_GC,99,jeffreys,3072,1.0
Gly_wobble_GC,99,jeffreys,6144,1.0
Gly_wobble_GC,99,wilson,3072,1.0
Gly_wobble_GC,99,wilson,6144,1.0
Pro_wobble_GC,11,jeffreys,3072,1.0
Pro_wobble_GC,11,jeffreys,6144,1.0
Pro_wobble_GC,11,wilson,3072,1.0
Pro_wobble_GC,11,wilson,6144,1.0
Pro_wobble_GC,42,jeffreys,3072,1.0
Pro_wobble_GC,42,jeffreys,6144,1.0
Pro_wobble_GC,42,wilson,3072,1.0
Pro_wobble_GC,42,wilson,6144,1.0
Pro_wobble_GC,99,jeffreys,3072,1.0
Pro_wobble_GC,99,jeffreys,6144,1.0
Pro_wobble_GC,99,wilson,3072,1.0
Pro_wobble_GC,99,wilson,6144,1.0
Thr_wobble_GC,11,jeffreys,3072,1.0
Thr_wobble_GC,11,jeffreys,6144,1.0
Thr_wobble_GC,11,wilson,3072,1.0
Thr_wobble_GC,11,wilson,6144,1.0
Thr_wobble_GC,42,jeffreys,3072,1.0
Thr_wobble_GC,42,jeffreys,6144,1.0
Thr_wobble_GC,42,wilson,3072,1.0
Thr_wobble_GC,42,wilson,6144,1.0
Thr_wobble_GC,99,jeffreys,3072,1.0
Thr_wobble_GC,99,jeffreys,6144,1.0
Thr_wobble_GC,99,wilson,3072,1.0
Thr_wobble_GC,99,wilson,6144,1.0
Val_wobble_GC,11,jeffreys,3072,1.0
Val_wobble_GC,11,jeffreys,6144,1.0
Val_wobble_GC,11,wilson,3072,1.0
Val_wobble_GC,11,wilson,6144,1.0
Val_wobble_GC,42,jeffreys,3072,1.0
Val_wobble_GC,42,jeffreys,6144,1.0
Val_wobble_GC,42,wilson,3072,1.0
Val_wobble_GC,42,wilson,6144,1.0
Val_wobble_GC,99,jeffreys,3072,1.0
Val_wobble_GC,99,jeffreys,6144,1.0
Val_wobble_GC,99,wilson,3072,1.0
Val_wobble_GC,99,wilson,6144,1.0
